section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
820505002,31.612169182316485,0.0,31.612169182316485,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47626991,2.045629581,1,07 Peripheral Areas,94917.0,12.8,3574.313514,,,Other,0.0
820505003,43.9841290467815,43.67505571757997,43.9841290467815,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46622944,2.058106438,0,03 Premium Urban Areas,128738.0,13.325,3839.31081125,11.3,4501.626016260163,Other,0.0
820505004,48.79126778216249,46.9355815967412,48.79126778216249,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47142973,2.049379678,5,01 Top Premium Urban Areas,143364.0,13.85,4104.3081085,11.9,4788.056910569107,Other,0.0
820505005,37.25918070496806,39.027770486065485,39.027770486065485,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46744485,2.046894617,0,03 Premium Urban Areas,107801.0,14.375,4369.30540575,11.7,4697.59756097561,Other,0.0
820505006,30.10101940727548,0.0,30.10101940727548,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47332181,2.066953417,0,03 Premium Urban Areas,112854.0,14.9,4634.302703,,,Other,0.0
820505007,29.93520797748577,0.0,29.93520797748577,Other,Multi-Family,2200,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4751478,2.058309896,1,07 Peripheral Areas,87473.0,14.0,4163.675676,,,Other,0.0
820505008,31.76354982554809,37.6364170313481,37.6364170313481,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46861575,2.036102552,1,07 Peripheral Areas,97626.0,10.8,2843.891892,13.6,5584.292682926829,Other,0.0
820506001,35.87285165621168,36.08254621460871,36.08254621460871,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Barcelones,41.42865844,2.107248519,3,"04 Quality Location, Regeneration",64857.0,11.833333333333334,3172.4504506666667,8.1,2814.2560975609754,Other,0.0
820601001,19.80289739049977,15.938812248801868,19.80289739049977,Other,Multi-Family,36.0,Sant Cugat Sesgarrigues,Sant Cugat Sesgarrigues,Alt Penedes,41.35595089,1.753459136,1,07 Peripheral Areas,56401.0,6.85,1298.78378375,4.4,768.747967479675,Other,0.0
820701001,18.296616291434777,11.542620728821046,18.296616291434777,Other,Multi-Family,99.0,Sant Esteve de Palautordera,Sant Esteve de Palautordera,Valles Oriental,41.71409181,2.421441571,1,07 Peripheral Areas,60216.0,7.3,1430.8,6.5,1764.5121951219512,Other,0.0
